Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-02 03:00 PM,2018,01,02,15,-999.0,-999,N/A,14.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-02 04:00 PM,2018,01,02,16,12.3,51,Moderate,11.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-02 05:00 PM,2018,01,02,17,16.3,60,Moderate,20.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-02 06:00 PM,2018,01,02,18,23.2,74,Moderate,29.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-02 07:00 PM,2018,01,02,19,52.5,143,Unhealthy for Sensitive Groups,80.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-02 08:00 PM,2018,01,02,20,73.5,160,Unhealthy,94.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-02 09:00 PM,2018,01,02,21,94.9,171,Unhealthy,116.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-02 10:00 PM,2018,01,02,22,116.0,182,Unhealthy,137.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-02 11:00 PM,2018,01,02,23,104.5,176,Unhealthy,93.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 12:00 AM,2018,01,03,00,92.2,170,Unhealthy,80.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 01:00 AM,2018,01,03,01,88.6,168,Unhealthy,85.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 02:00 AM,2018,01,03,02,74.8,161,Unhealthy,61.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 03:00 AM,2018,01,03,03,65.4,156,Unhealthy,56.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 04:00 AM,2018,01,03,04,61.2,154,Unhealthy,57.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 05:00 AM,2018,01,03,05,65.1,156,Unhealthy,69.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 06:00 AM,2018,01,03,06,72.0,160,Unhealthy,79.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 07:00 AM,2018,01,03,07,97.0,172,Unhealthy,122.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 08:00 AM,2018,01,03,08,121.0,185,Unhealthy,145.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 09:00 AM,2018,01,03,09,146.0,198,Unhealthy,171.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 10:00 AM,2018,01,03,10,120.5,185,Unhealthy,95.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 11:00 AM,2018,01,03,11,108.2,178,Unhealthy,96.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 12:00 PM,2018,01,03,12,86.6,167,Unhealthy,65.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 01:00 PM,2018,01,03,13,62.3,155,Unhealthy,38.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 02:00 PM,2018,01,03,14,40.1,112,Unhealthy for Sensitive Groups,18.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 03:00 PM,2018,01,03,15,31.0,91,Moderate,22.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 04:00 PM,2018,01,03,16,27.0,82,Moderate,23.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 05:00 PM,2018,01,03,17,31.5,92,Moderate,36.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 06:00 PM,2018,01,03,18,42.2,117,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 07:00 PM,2018,01,03,19,66.1,156,Unhealthy,90.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 08:00 PM,2018,01,03,20,99.0,173,Unhealthy,132.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 09:00 PM,2018,01,03,21,126.5,188,Unhealthy,154.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 10:00 PM,2018,01,03,22,137.7,193,Unhealthy,149.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-03 11:00 PM,2018,01,03,23,136.3,193,Unhealthy,135.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 12:00 AM,2018,01,04,00,124.7,187,Unhealthy,113.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 01:00 AM,2018,01,04,01,109.3,179,Unhealthy,94.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 02:00 AM,2018,01,04,02,89.6,169,Unhealthy,70.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 03:00 AM,2018,01,04,03,81.8,165,Unhealthy,74.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 04:00 AM,2018,01,04,04,81.9,165,Unhealthy,82.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 05:00 AM,2018,01,04,05,76.9,162,Unhealthy,72.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 06:00 AM,2018,01,04,06,91.4,170,Unhealthy,106.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 07:00 AM,2018,01,04,07,122.2,185,Unhealthy,153.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 08:00 AM,2018,01,04,08,154.6,205,Very Unhealthy,187.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 09:00 AM,2018,01,04,09,181.3,232,Very Unhealthy,208.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 10:00 AM,2018,01,04,10,163.6,214,Very Unhealthy,146.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 11:00 AM,2018,01,04,11,144.8,197,Unhealthy,126.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 12:00 PM,2018,01,04,12,104.9,177,Unhealthy,65.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 01:00 PM,2018,01,04,13,60.9,154,Unhealthy,17.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 02:00 PM,2018,01,04,14,39.9,112,Unhealthy for Sensitive Groups,19.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 03:00 PM,2018,01,04,15,31.4,92,Moderate,23.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 04:00 PM,2018,01,04,16,31.2,91,Moderate,31.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 05:00 PM,2018,01,04,17,34.1,97,Moderate,37.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 06:00 PM,2018,01,04,18,45.0,124,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 07:00 PM,2018,01,04,19,69.0,158,Unhealthy,93.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 08:00 PM,2018,01,04,20,95.5,172,Unhealthy,122.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 09:00 PM,2018,01,04,21,112.2,180,Unhealthy,129.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 10:00 PM,2018,01,04,22,121.1,185,Unhealthy,130.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-04 11:00 PM,2018,01,04,23,111.5,180,Unhealthy,102.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 12:00 AM,2018,01,05,00,97.2,173,Unhealthy,83.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 01:00 AM,2018,01,05,01,87.6,168,Unhealthy,78.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 02:00 AM,2018,01,05,02,87.3,167,Unhealthy,87.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 03:00 AM,2018,01,05,03,75.6,161,Unhealthy,64.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 04:00 AM,2018,01,05,04,68.8,158,Unhealthy,62.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 05:00 AM,2018,01,05,05,76.9,162,Unhealthy,85.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 06:00 AM,2018,01,05,06,77.4,162,Unhealthy,78.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 07:00 AM,2018,01,05,07,97.7,173,Unhealthy,118.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 08:00 AM,2018,01,05,08,129.3,189,Unhealthy,161.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 09:00 AM,2018,01,05,09,160.1,211,Very Unhealthy,191.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 10:00 AM,2018,01,05,10,160.1,211,Very Unhealthy,160.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 11:00 AM,2018,01,05,11,136.0,193,Unhealthy,112.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 12:00 PM,2018,01,05,12,100.5,174,Unhealthy,65.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 01:00 PM,2018,01,05,13,68.7,158,Unhealthy,37.0,UG/M3,1 Hr,Valid
Phora Durbar Kathmandu,PM2.5 - Principal,2018-01-05 02:00 PM,2018,01,05,14,42.8,119,Unhealthy for Sensitive Groups,17.0,UG/M3,1 Hr,Valid
