Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,O3,2018-12-01 01:00 AM,2018,12,01,01,3.0,3,Good,3.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 02:00 AM,2018,12,01,02,1.0,1,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 03:00 AM,2018,12,01,03,1.0,1,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 04:00 AM,2018,12,01,04,1.0,1,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 05:00 AM,2018,12,01,05,1.0,1,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 06:00 AM,2018,12,01,06,1.0,1,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 07:00 AM,2018,12,01,07,1.0,1,Good,-999.0,PPB,1 Hr,Missing
Phora Durbar Kathmandu,O3,2018-12-01 08:00 AM,2018,12,01,08,1.0,1,Good,1.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 09:00 AM,2018,12,01,09,4.0,4,Good,5.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 10:00 AM,2018,12,01,10,18.0,17,Good,19.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 11:00 AM,2018,12,01,11,39.0,36,Good,39.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 12:00 PM,2018,12,01,12,46.0,43,Good,46.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 01:00 PM,2018,12,01,13,38.0,35,Good,38.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 02:00 PM,2018,12,01,14,38.0,35,Good,38.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 03:00 PM,2018,12,01,15,35.0,32,Good,35.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 04:00 PM,2018,12,01,16,33.0,31,Good,33.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-12-01 05:00 PM,2018,12,01,17,33.0,31,Good,32.0,PPB,1 Hr,Valid
