Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Phora Durbar Kathmandu,O3,2018-01-01 01:00 AM,2018,01,01,01,6.0,6,Good,5.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 02:00 AM,2018,01,01,02,6.0,6,Good,6.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 03:00 AM,2018,01,01,03,6.0,6,Good,7.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 04:00 AM,2018,01,01,04,6.0,6,Good,6.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 05:00 AM,2018,01,01,05,7.0,6,Good,8.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 06:00 AM,2018,01,01,06,9.0,8,Good,10.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 07:00 AM,2018,01,01,07,17.0,16,Good,20.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 08:00 AM,2018,01,01,08,17.0,16,Good,17.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 09:00 AM,2018,01,01,09,15.0,14,Good,14.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 10:00 AM,2018,01,01,10,15.0,14,Good,14.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 11:00 AM,2018,01,01,11,26.0,24,Good,29.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 12:00 PM,2018,01,01,12,37.0,34,Good,40.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 01:00 PM,2018,01,01,13,45.0,42,Good,48.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 02:00 PM,2018,01,01,14,56.0,54,Moderate,59.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 03:00 PM,2018,01,01,15,62.0,74,Moderate,64.0,PPB,1 Hr,Valid
Phora Durbar Kathmandu,O3,2018-01-01 04:00 PM,2018,01,01,16,47.0,44,Good,43.0,PPB,1 Hr,Valid
